Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
Carderock Springs ES Modernization,http://www.usgbc.org/projects/carderock-springs-es-modernization,05/09/2011 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Twinbrook Place,http://www.usgbc.org/projects/twinbrook-place,05/25/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
William B Gibbs ES (Clarksburg No 8),http://www.usgbc.org/projects/william-b-gibbs-es-clarksburg-no-8,07/15/2010 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
12420 Parklawn Building,http://www.usgbc.org/projects/12420-parklawn-building,02/18/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Ruppert Landscape Corporate Headquarters,http://www.usgbc.org/projects/ruppert-landscape-corporate-headquarters,04/06/2012 12:00:00 AM,Laytonsville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
One Washingtonian Center - Transwestern,http://www.usgbc.org/projects/one-washingtonian-center-transwestern,02/27/2009 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],Existing Buildings,v2008,Certified,4
IBM Bethesda,http://www.usgbc.org/projects/ibm-bethesda,10/13/2011 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Commercial Interiors,v2009,Gold,2
Fitzgerald Toyota Certified Used,http://www.usgbc.org/projects/fitzgerald-toyota-certified-used,03/03/2010 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Discovery Child Care Center,http://www.usgbc.org/projects/discovery-child-care-center,08/26/2009 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Commercial Interiors,v2.0,Gold,2
German School Science Building,http://www.usgbc.org/projects/german-school-science-building,08/24/2012 12:00:00 AM,Potomac,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Two Wisconsin Circle,http://www.usgbc.org/projects/two-wisconsin-circle,11/21/2011 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],Existing Buildings,v2008,Certified,4
The Newlands Building,http://www.usgbc.org/projects/newlands-building,01/19/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2008,Certified,4
Four Irvington Centre,http://www.usgbc.org/projects/four-irvington-centre,07/17/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Cashell Elementary School,http://www.usgbc.org/projects/cashell-elementary-school,10/04/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
MID-COUNTY RECREATION CENTER,http://www.usgbc.org/projects/mid-county-recreation-center,02/07/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.1,Certified,4
NIST Child Care Center,http://www.usgbc.org/projects/nist-child-care-center-0,09/06/2012 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2009,Gold,2
M&T Bank Pike Center,http://www.usgbc.org/projects/mt-bank-pike-center,06/17/2011 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Ingleside at King Farm,http://www.usgbc.org/projects/ingleside-king-farm,05/10/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
One Washingtonian Center recertification,http://www.usgbc.org/projects/one-washingtonian-center-recertification,06/28/2010 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],Existing Buildings,v2009,Platinum,1
Francis Scott Key Middle School,http://www.usgbc.org/projects/francis-scott-key-middle-school,08/22/2009 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Global Environment Fund,http://www.usgbc.org/projects/global-environment-fund,09/11/2009 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],Commercial Interiors,v2.0,Gold,2
ASHA New Headquarters Building,http://www.usgbc.org/projects/asha-new-headquarters-building,08/22/2008 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.1,Gold,2
CBRE - Bethesda Office,http://www.usgbc.org/projects/cbre-bethesda-office,06/29/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
10001 New Hampshire Avenue,http://www.usgbc.org/projects/10001-new-hampshire-avenue,06/15/2010 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Cresthaven ES,http://www.usgbc.org/projects/cresthaven-es,11/02/2011 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
